study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
piano,,0,0,0,4,,,,,1.1403744164854288,,0.5619478896260262,1.1403744164854288,1.1403744164854288,3.8301914129406214,1.974074074074074,3.236708467826247,,,,,,,,,,,,,,,ishitaword,001,2023-10-05_07h22.42.292,wordpriming_muskanjain,2023.2.2,60.062731532755194,2023-10-05 07h23.07.500876 -0500,
book,,0,1,1,2,,,,,3.859449138864875,,3.83303096331656,3.859449138864875,3.859449138864875,6.226434264332056,1.0333333333333334,2.366506015881896,,,,,,,,,,,,,,,ishitaword,001,2023-10-05_07h22.42.292,wordpriming_muskanjain,2023.2.2,60.062731532755194,2023-10-05 07h23.07.500876 -0500,
tiger,,0,2,2,1,,,,,6.25809820741415,,6.226878263056278,6.25809820741415,6.25809820741415,7.969244498759508,2.011111111111111,1.7115822900086641,,,,,,,,,,,,,,,ishitaword,001,2023-10-05_07h22.42.292,wordpriming_muskanjain,2023.2.2,60.062731532755194,2023-10-05 07h23.07.500876 -0500,
cushion,,0,3,3,3,,,,,7.9988106694072485,,7.969952942803502,7.9988106694072485,7.9988106694072485,9.256318211555481,2.011111111111111,1.2579870969057083,,,,,,,,,,,,,,,ishitaword,001,2023-10-05_07h22.42.292,wordpriming_muskanjain,2023.2.2,60.062731532755194,2023-10-05 07h23.07.500876 -0500,
vase,,0,4,4,0,,,,,9.283618606626987,,9.256743099540472,9.283618606626987,9.283618606626987,10.863676242530346,2.011111111111111,1.5803660787642002,,,,,,,,,,,,,,,ishitaword,001,2023-10-05_07h22.42.292,wordpriming_muskanjain,2023.2.2,60.062731532755194,2023-10-05 07h23.07.500876 -0500,
,c_m_r_,,,,,0,0,0,6,10.889570862054825,,,,,,,,10.871398005634546,10.889570862054825,10.889570862054825,10.889570862054825,0.012944422662258148,17.598834047093987,camera,[-0.025925925925925925],[-0.28425925925925927],[1],[0],[0],[6.720911163836718],['text_3'],ishitaword,001,2023-10-05_07h22.42.292,wordpriming_muskanjain,2023.2.2,60.062731532755194,2023-10-05 07h23.07.500876 -0500,
,o_a_n_e,,,,,0,1,1,9,17.62711844034493,,,,,,,,17.60193270817399,17.62711844034493,17.62711844034493,17.62711844034493,0.008586207404732704,24.26078620366752,range,"[-0.001851851851851852, -0.07222222222222222]","[-0.003703703703703704, -0.27685185185185185]","[1, 1]","[0, 0]","[0, 0]","[1.5179866347461939, 6.649275291711092]",['text_3'],ishitaword,001,2023-10-05_07h22.42.292,wordpriming_muskanjain,2023.2.2,60.062731532755194,2023-10-05 07h23.07.500876 -0500,
,c_s_h_o_n,,,,,0,2,2,3,24.290031483396888,,,,,,,,24.263198198750615,24.290031483396888,24.290031483396888,24.290031483396888,0.008915096521377563,31.320507429540157,cushion,[-0.002777777777777778],[-0.3175925925925926],[1],[0],[0],[7.0474865809082985],['text_3'],ishitaword,001,2023-10-05_07h22.42.292,wordpriming_muskanjain,2023.2.2,60.062731532755194,2023-10-05 07h23.07.500876 -0500,
,_ia_n_,,,,,0,3,3,4,31.34821849130094,,,,,,,,31.322449203580618,31.34821849130094,31.34821849130094,31.34821849130094,0.0082426518201828,36.66357793100178,piano,[-0.03518518518518519],[-0.31296296296296294],[1],[0],[0],[5.332122519612312],['text_3'],ishitaword,001,2023-10-05_07h22.42.292,wordpriming_muskanjain,2023.2.2,60.062731532755194,2023-10-05 07h23.07.500876 -0500,
,_a_e,,,,,0,4,4,0,36.69103832729161,,,,,,,,36.66614770516753,36.69103832729161,36.69103832729161,36.69103832729161,0.008472874760627747,41.62696110829711,bake,[-0.06111111111111111],[-0.2740740740740741],[1],[0],[0],[4.9519080854952335],['text_3'],ishitaword,001,2023-10-05_07h22.42.292,wordpriming_muskanjain,2023.2.2,60.062731532755194,2023-10-05 07h23.07.500876 -0500,
