study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
piano,,0,0,0,4,,,,,0.08514118194580078,,0.021147074177861214,0.08514118194580078,0.08514118194580078,3.5069182105362415,1.9814814814814814,3.456500966101885,,,,,,,,,,,,,,,mananpriming,001,2023-10-05_07h52.24.918,wordpriming_muskanjain,2023.2.2,60.054716177656196,2023-10-05 07h52.51.594308 -0500,
tiger,,0,1,1,1,,,,,3.540511040017009,,3.5097626503556967,3.540511040017009,3.540511040017009,6.086722956970334,1.0037037037037038,2.545959474518895,,,,,,,,,,,,,,,mananpriming,001,2023-10-05_07h52.24.918,wordpriming_muskanjain,2023.2.2,60.054716177656196,2023-10-05 07h52.51.594308 -0500,
book,,0,2,2,2,,,,,6.111245580017567,,6.087171845138073,6.111245580017567,6.111245580017567,8.803459016606212,2.025925925925926,2.6882312204688787,,,,,,,,,,,,,,,mananpriming,001,2023-10-05_07h52.24.918,wordpriming_muskanjain,2023.2.2,60.054716177656196,2023-10-05 07h52.51.594308 -0500,
vase,,0,3,3,0,,,,,8.832154521718621,,8.803891459479928,8.832154521718621,8.832154521718621,11.615444684401155,1,2.7820479422807693,,,,,,,,,,,,,,,mananpriming,001,2023-10-05_07h52.24.918,wordpriming_muskanjain,2023.2.2,60.054716177656196,2023-10-05 07h52.51.594308 -0500,
cushion,,0,4,4,3,,,,,11.642719747498631,,11.61591712757945,11.642719747498631,11.642719747498631,13.480569368228316,1,1.836350068449974,,,,,,,,,,,,,,,mananpriming,001,2023-10-05_07h52.24.918,wordpriming_muskanjain,2023.2.2,60.054716177656196,2023-10-05 07h52.51.594308 -0500,
,_ea_o_,,,,,0,0,0,5,13.511441757902503,,,,,,,,13.488045800477266,13.511441757902503,13.511441757902503,13.511441757902503,0.012351533398032188,20.520675964653492,,[-0.011111111111111112],[-0.30462962962962964],[1],[0],[0],[7.026870619505644],['text_3'],mananpriming,001,2023-10-05_07h52.24.918,wordpriming_muskanjain,2023.2.2,60.054716177656196,2023-10-05 07h52.51.594308 -0500,
,_o_s_,,,,,0,1,1,8,20.535997269675136,,,,,,,,20.522142628207803,20.535997269675136,20.535997269675136,20.535997269675136,0.0038262158632278442,26.798871025443077,house,[-0.021296296296296296],[-0.32407407407407407],[1],[0],[0],[6.272320847958326],['text_3'],mananpriming,001,2023-10-05_07h52.24.918,wordpriming_muskanjain,2023.2.2,60.054716177656196,2023-10-05 07h52.51.594308 -0500,
,_a_e,,,,,0,2,2,0,26.81642165966332,,,,,,,,26.800381688401103,26.81642165966332,26.81642165966332,26.81642165966332,0.004850657656788826,34.55847589671612,vase,"[0.010185185185185186, -0.012962962962962963]","[-0.007407407407407408, -0.31666666666666665]","[1, 1]","[0, 0]","[0, 0]","[1.1915263272821903, 7.7526582181453705]",['text_3'],mananpriming,001,2023-10-05_07h52.24.918,wordpriming_muskanjain,2023.2.2,60.054716177656196,2023-10-05 07h52.51.594308 -0500,
,_oo_,,,,,0,3,3,2,34.57760652899742,,,,,,,,34.559973226860166,34.57760652899742,34.57760652899742,34.57760652899742,0.004944881424307823,39.02109863050282,book,"[0.007407407407407408, -0.022222222222222223]","[0.005555555555555556, -0.29444444444444445]","[1, 1]","[0, 0]","[0, 0]","[1.342882500961423, 4.455769410356879]",['text_3'],mananpriming,001,2023-10-05_07h52.24.918,wordpriming_muskanjain,2023.2.2,60.054716177656196,2023-10-05 07h52.51.594308 -0500,
,o_a_n_e,,,,,0,4,4,9,39.040123485028744,,,,,,,,39.02231773920357,39.040123485028744,39.040123485028744,39.040123485028744,0.0052946582436561584,44.433139231055975,orange,"[-0.017592592592592594, -0.03333333333333333]","[0.011111111111111112, -0.29444444444444445]","[1, 1]","[0, 0]","[0, 0]","[1.3754677772521973, 5.404881503432989]",['text_3'],mananpriming,001,2023-10-05_07h52.24.918,wordpriming_muskanjain,2023.2.2,60.054716177656196,2023-10-05 07h52.51.594308 -0500,
