study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
tiger,,0,0,0,1,,,,,0.08451762795448303,,0.014698639512062073,0.08451762795448303,0.08451762795448303,2.466933835297823,2.0296296296296297,2.420209476724267,,,,,,,,,,,,,,,nikitaaprimimg,001,2023-10-05_08h11.13.479,wordpriming_muskanjain,2023.2.2,60.05038890969284,2023-10-05 08h11.58.708018 -0500,
vase,,0,1,1,0,,,,,2.4970106724649668,,2.4677809458225965,2.4970106724649668,2.4970106724649668,4.057171452790499,1.9703703703703703,1.5590790063142776,,,,,,,,,,,,,,,nikitaaprimimg,001,2023-10-05_08h11.13.479,wordpriming_muskanjain,2023.2.2,60.05038890969284,2023-10-05 08h11.58.708018 -0500,
book,,0,2,2,2,,,,,4.081246521323919,,4.057621231302619,4.081246521323919,4.081246521323919,5.972016049548984,1.9703703703703703,1.8889566417783499,,,,,,,,,,,,,,,nikitaaprimimg,001,2023-10-05_08h11.13.479,wordpriming_muskanjain,2023.2.2,60.05038890969284,2023-10-05 08h11.58.708018 -0500,
cushion,,0,3,3,3,,,,,6.000413777306676,,5.97245560400188,6.000413777306676,6.000413777306676,7.853614481166005,1.9703703703703703,1.8519295956939459,,,,,,,,,,,,,,,nikitaaprimimg,001,2023-10-05_08h11.13.479,wordpriming_muskanjain,2023.2.2,60.05038890969284,2023-10-05 08h11.58.708018 -0500,
piano,,0,4,4,4,,,,,7.880104212090373,,7.854053147137165,7.880104212090373,7.880104212090373,9.524030623957515,1.9703703703703703,1.643103301525116,,,,,,,,,,,,,,,nikitaaprimimg,001,2023-10-05_08h11.13.479,wordpriming_muskanjain,2023.2.2,60.05038890969284,2023-10-05 08h11.58.708018 -0500,
,_p_a_d_,,,,,0,0,0,7,9.556606121361256,,,,,,,,9.531931499019265,9.556606121361256,9.556606121361256,9.556606121361256,0.014461752027273178,12.496332449838519,,[-0.02962962962962963],[-0.31203703703703706],[1],[0],[0],[2.956952076405287],['text_3'],nikitaaprimimg,001,2023-10-05_08h11.13.479,wordpriming_muskanjain,2023.2.2,60.05038890969284,2023-10-05 08h11.58.708018 -0500,
,_a_e,,,,,0,1,1,0,12.512350199744105,,,,,,,,12.497949335724115,12.512350199744105,12.512350199744105,12.512350199744105,0.0044751036912202835,19.10749447531998,vase,"[0.001851851851851852, -0.03148148148148148]","[-0.01574074074074074, -0.2953703703703704]","[1, 1]","[0, 0]","[0, 0]","[1.9919293466955423, 6.604577146470547]",['text_3'],nikitaaprimimg,001,2023-10-05_08h11.13.479,wordpriming_muskanjain,2023.2.2,60.05038890969284,2023-10-05 08h11.58.708018 -0500,
,c_s_h_o_n,,,,,0,2,2,3,19.127294439822435,,,,,,,,19.108726473525167,19.127294439822435,19.127294439822435,19.127294439822435,0.00541510246694088,25.668445033952594,cushion,"[0.002777777777777778, -0.041666666666666664]","[0.022222222222222223, -0.29907407407407405]","[1, 1]","[0, 0]","[0, 0]","[1.4078783858567476, 6.553562127053738]",['text_3'],nikitaaprimimg,001,2023-10-05_08h11.13.479,wordpriming_muskanjain,2023.2.2,60.05038890969284,2023-10-05 08h11.58.708018 -0500,
,_ea_o_,,,,,0,3,3,5,25.687167666852474,,,,,,,,25.669770808890462,25.687167666852474,25.687167666852474,25.687167666852474,0.005521323531866074,29.664721485227346,,"[0.014814814814814815, -0.037037037037037035]","[0.02962962962962963, -0.29074074074074074]","[1, 1]","[0, 0]","[0, 0]","[1.6932361014187336, 3.9890213534235954]",['text_3'],nikitaaprimimg,001,2023-10-05_08h11.13.479,wordpriming_muskanjain,2023.2.2,60.05038890969284,2023-10-05 08h11.58.708018 -0500,
,o_a_n_e,,,,,0,4,4,9,29.680071234703064,,,,,,,,29.665657483041286,29.680071234703064,29.680071234703064,29.680071234703064,0.004093769937753677,37.19258632324636,orange,"[-0.002777777777777778, -0.06759259259259259]","[0.014814814814814815, -0.30092592592592593]","[1, 1]","[0, 0]","[0, 0]","[1.7597617600113153, 7.522192848846316]",['text_3'],nikitaaprimimg,001,2023-10-05_08h11.13.479,wordpriming_muskanjain,2023.2.2,60.05038890969284,2023-10-05 08h11.58.708018 -0500,
