study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
tiger,,0,0,0,1,,,,,0.07337053678929806,,0.014269309118390083,0.07337053678929806,0.07337053678929806,2.868982456624508,1.9925925925925927,2.8242185339331627,,,,,,,,,,,,,,,ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
book,,0,1,1,2,,,,,2.966811615973711,,2.8696944545954466,2.966811615973711,2.966811615973711,3.9250934664160013,1.9925925925925927,0.9575342983007431,,,,,,,,,,,,,,,ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
piano,,0,2,2,4,,,,,3.9544227477163076,,3.925530355423689,3.9544227477163076,3.9544227477163076,5.440960993990302,1.0074074074074073,1.485168470069766,,,,,,,,,,,,,,,ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
cushion,,0,3,3,3,,,,,5.469412500038743,,5.441439660266042,5.469412500038743,5.469412500038743,6.8732677809894085,1.9555555555555555,1.4022570624947548,,,,,,,,,,,,,,,ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
vase,,0,4,4,0,,,,,6.900256622582674,,6.87370378151536,6.900256622582674,6.900256622582674,8.787668822333217,1,1.886544644832611,,,,,,,,,,,,,,,ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
,_ia_n_,,,,,0,0,0,4,8.812646556645632,,,,,,,,8.79547325335443,8.812646556645632,8.812646556645632,8.812646556645632,0.013353308662772179,15.6467290725559,piano,"[-0.005555555555555556, -0.03333333333333333]","[0.006481481481481481, -0.3074074074074074]","[1, 1]","[0, 0]","[0, 0]","[2.7802075035870075, 6.8445580545812845]",['text_3'],ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
,c_m_r_,,,,,0,1,1,6,15.666179260239005,,,,,,,,15.649076180532575,15.666179260239005,15.666179260239005,15.666179260239005,0.005461322143673897,20.874584667384624,camera,"[-0.004629629629629629, -0.03611111111111111]","[0.006481481481481481, -0.30092592592592593]","[1, 1]","[0, 0]","[0, 0]","[1.2232431583106518, 5.219255609437823]",['text_3'],ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
,_a_e,,,,,0,2,2,0,20.89225841499865,,,,,,,,20.87589266523719,20.89225841499865,20.89225841499865,20.89225841499865,0.004986213520169258,25.12005534209311,vase,"[-0.006481481481481481, -0.014814814814814815]","[0.006481481481481481, -0.2972222222222222]","[1, 1]","[0, 0]","[0, 0]","[1.2913519274443388, 4.238788019865751]",['text_3'],ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
,_o_s_,,,,,0,3,3,8,25.13539220392704,,,,,,,,25.120997119694948,25.13539220392704,25.13539220392704,25.13539220392704,0.0038848817348480225,33.29639680683613,loose,[-0.019444444444444445],[-0.2935185185185185],[1],[0],[0],[8.170929474756122],['text_3'],ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
,_p_a_d_,,,,,0,4,4,7,33.315138107165694,,,,,,,,33.29744169488549,33.315138107165694,33.315138107165694,33.315138107165694,0.006873764097690582,40.939881440252066,upwards,[-0.024074074074074074],[-0.29907407407407405],[1],[0],[0],[7.6348624266684055],['text_3'],ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
,_ea_o_,,,,,0,5,5,5,40.95961918309331,,,,,,,,40.94197877123952,40.95961918309331,40.95961918309331,40.95961918309331,0.006247987970709801,50.9464294295758,,[],[],[],[],[],[],[],ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
,c_s_h_o_n,,,,,0,6,6,3,50.9629485104233,,,,,,,,50.94734231568873,50.9629485104233,50.9629485104233,50.9629485104233,0.00968753732740879,56.44303610175848,cushion,[-0.041666666666666664],[-0.31296296296296294],[1],[0],[0],[5.491065349429846],['text_3'],ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
,_oo_,,,,,0,7,7,2,56.46123562566936,,,,,,,,56.44422054477036,56.46123562566936,56.46123562566936,56.46123562566936,0.005045769736170769,60.58987806364894,book,[-0.037037037037037035],[-0.287962962962963],[1],[0],[0],[4.140026418492198],['text_3'],ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
,t_g_r,,,,,0,8,8,1,60.60845625214279,,,,,,,,60.591088727116585,60.60845625214279,60.60845625214279,60.60845625214279,0.005379544571042061,66.08424162864685,tiger,"[0.009259259259259259, -0.05462962962962963]","[0.002777777777777778, -0.2953703703703704]","[1, 1]","[0, 0]","[0, 0]","[1.0913838371634483, 5.487270245328546]",['text_3'],ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
,o_a_n_e,,,,,0,9,9,9,66.10128737613559,,,,,,,,66.0853260718286,66.10128737613559,66.10128737613559,66.10128737613559,0.004761768504977226,74.12745666317642,orange,"[0.014814814814814815, -0.021296296296296296]","[0.013888888888888888, -0.30462962962962964]","[1, 1]","[0, 0]","[0, 0]","[1.3426496144384146, 8.036689268425107]",['text_3'],ritikprimimg,001,2023-10-05_07h57.59.815,wordpriming_muskanjain,2023.2.2,60.059686386429696,2023-10-05 07h58.26.049865 -0500,
